Source Name,Office,Office Code,Raw Maker,Maker,Fuel Type,Month,Month No,Month Date,Registrations,Reported Total,Calculated Total,Total Variance,Total Check
RTA IBRAHIMPATNAM - TG107( 27-FEB-2026 ).xlsx,RTA IBRAHIMPATNAM,TG107,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,Apr,4,2026-04-01,0,1,1,0,OK
RTA IBRAHIMPATNAM - TG107( 27-FEB-2026 ).xlsx,RTA IBRAHIMPATNAM,TG107,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,May,5,2026-05-01,1,1,1,0,OK
RTA IBRAHIMPATNAM - TG107( 27-FEB-2026 ).xlsx,RTA IBRAHIMPATNAM,TG107,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,Jun,6,2026-06-01,0,1,1,0,OK
RTA IBRAHIMPATNAM - TG107( 27-FEB-2026 ).xlsx,RTA IBRAHIMPATNAM,TG107,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,Jan,1,2026-01-01,0,1,1,0,OK
RTA IBRAHIMPATNAM - TG107( 27-FEB-2026 ).xlsx,RTA IBRAHIMPATNAM,TG107,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,Feb,2,2026-02-01,0,1,1,0,OK
RTA IBRAHIMPATNAM - TG107( 27-FEB-2026 ).xlsx,RTA IBRAHIMPATNAM,TG107,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,Mar,3,2026-03-01,0,1,1,0,OK
RTA IBRAHIMPATNAM - TG107( 27-FEB-2026 ).xlsx,RTA IBRAHIMPATNAM,TG107,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,Apr,4,2026-04-01,0,1,1,0,OK
RTA IBRAHIMPATNAM - TG107( 27-FEB-2026 ).xlsx,RTA IBRAHIMPATNAM,TG107,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,May,5,2026-05-01,1,1,1,0,OK
RTA IBRAHIMPATNAM - TG107( 27-FEB-2026 ).xlsx,RTA IBRAHIMPATNAM,TG107,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,Jun,6,2026-06-01,0,1,1,0,OK
RTA JANGOAN - TG27( 27-FEB-2026 ).xlsx,RTA JANGOAN,TG27,JAGUAR LAND ROVER INDIA LIMITED,JAGUAR LAND ROVER,Diesel Hybrid,Jan,1,2026-01-01,0,1,1,0,OK
RTA JANGOAN - TG27( 27-FEB-2026 ).xlsx,RTA JANGOAN,TG27,JAGUAR LAND ROVER INDIA LIMITED,JAGUAR LAND ROVER,Diesel Hybrid,Feb,2,2026-02-01,0,1,1,0,OK
RTA JANGOAN - TG27( 27-FEB-2026 ).xlsx,RTA JANGOAN,TG27,JAGUAR LAND ROVER INDIA LIMITED,JAGUAR LAND ROVER,Diesel Hybrid,Mar,3,2026-03-01,0,1,1,0,OK
RTA JANGOAN - TG27( 27-FEB-2026 ).xlsx,RTA JANGOAN,TG27,JAGUAR LAND ROVER INDIA LIMITED,JAGUAR LAND ROVER,Diesel Hybrid,Apr,4,2026-04-01,0,1,1,0,OK
RTA JANGOAN - TG27( 27-FEB-2026 ).xlsx,RTA JANGOAN,TG27,JAGUAR LAND ROVER INDIA LIMITED,JAGUAR LAND ROVER,Diesel Hybrid,May,5,2026-05-01,1,1,1,0,OK
RTA JANGOAN - TG27( 27-FEB-2026 ).xlsx,RTA JANGOAN,TG27,JAGUAR LAND ROVER INDIA LIMITED,JAGUAR LAND ROVER,Diesel Hybrid,Jun,6,2026-06-01,0,1,1,0,OK
RTA KAMAREDDY - TG17( 26-FEB-2026 ).xlsx,RTA KAMAREDDY,TG17,JAGUAR LAND ROVER INDIA LIMITED,JAGUAR LAND ROVER,Diesel Hybrid,Jan,1,2026-01-01,0,1,1,0,OK
RTA KAMAREDDY - TG17( 26-FEB-2026 ).xlsx,RTA KAMAREDDY,TG17,JAGUAR LAND ROVER INDIA LIMITED,JAGUAR LAND ROVER,Diesel Hybrid,Feb,2,2026-02-01,0,1,1,0,OK
RTA KAMAREDDY - TG17( 26-FEB-2026 ).xlsx,RTA KAMAREDDY,TG17,JAGUAR LAND ROVER INDIA LIMITED,JAGUAR LAND ROVER,Diesel Hybrid,Mar,3,2026-03-01,0,1,1,0,OK
RTA KAMAREDDY - TG17( 26-FEB-2026 ).xlsx,RTA KAMAREDDY,TG17,JAGUAR LAND ROVER INDIA LIMITED,JAGUAR LAND ROVER,Diesel Hybrid,Apr,4,2026-04-01,1,1,1,0,OK
RTA KAMAREDDY - TG17( 26-FEB-2026 ).xlsx,RTA KAMAREDDY,TG17,JAGUAR LAND ROVER INDIA LIMITED,JAGUAR LAND ROVER,Diesel Hybrid,May,5,2026-05-01,0,1,1,0,OK
RTA KAMAREDDY - TG17( 26-FEB-2026 ).xlsx,RTA KAMAREDDY,TG17,JAGUAR LAND ROVER INDIA LIMITED,JAGUAR LAND ROVER,Diesel Hybrid,Jun,6,2026-06-01,0,1,1,0,OK
RTA KHAMMAM - TG4( 27-FEB-2026 ).xlsx,RTA KHAMMAM,TG4,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,Jan,1,2026-01-01,0,1,1,0,OK
